event_id,customer_id,region,event_type,amount,event_ts
1,100000,Northeast,purchase,117.67,2026-02-12 15:04:58
2,100000,Northeast,support,0.0,2026-02-15 15:35:23
3,100000,Northeast,view,0.0,2026-02-01 01:16:26
4,100000,Northeast,view,0.0,2026-03-14 01:40:18
5,100000,Northeast,return,0.0,2026-01-13 09:26:16
6,100000,Northeast,cart,0.0,2026-01-03 22:46:18
7,100000,Northeast,view,0.0,2026-01-08 18:57:53
8,100000,Northeast,view,0.0,2026-02-06 17:13:34
9,100000,Northeast,view,0.0,2026-03-02 15:12:47
10,100000,Northeast,view,0.0,2026-01-06 11:43:04
11,100000,Northeast,purchase,140.06,2026-01-27 09:20:11
12,100000,Northeast,support,0.0,2026-01-05 02:28:44
13,100000,Northeast,cart,0.0,2026-01-27 13:56:56
14,100000,Northeast,search,0.0,2026-01-24 18:49:47
15,100000,Northeast,search,0.0,2026-02-16 22:40:19
16,100000,Northeast,purchase,193.23,2026-02-21 07:02:38
17,100000,Northeast,return,0.0,2026-03-28 20:21:38
18,100000,Northeast,return,0.0,2026-03-07 09:54:27
19,100000,Northeast,cart,0.0,2026-02-10 04:53:38
20,100000,Northeast,purchase,104.7,2026-03-03 01:27:00
21,100000,Northeast,view,0.0,2026-02-27 08:36:27
22,100000,Northeast,view,0.0,2026-01-12 11:20:40
23,100000,Northeast,view,0.0,2026-03-19 14:14:24
24,100000,Northeast,purchase,111.39,2026-03-23 11:35:43
25,100000,Northeast,search,0.0,2026-01-26 09:58:47
26,100001,Midwest,return,0.0,2026-01-22 21:08:33
27,100001,Midwest,cart,0.0,2026-01-27 08:42:23
28,100001,Midwest,search,0.0,2026-03-20 03:05:21
29,100001,Midwest,view,0.0,2026-02-21 02:26:47
30,100001,Midwest,view,0.0,2026-03-04 05:12:57
31,100001,Midwest,purchase,92.34,2026-03-11 14:49:19
32,100001,Midwest,search,0.0,2026-01-28 10:35:53
33,100001,Midwest,purchase,68.83,2026-03-12 02:10:34
34,100001,Midwest,purchase,125.0,2026-02-01 16:40:00
35,100001,Midwest,support,0.0,2026-03-03 23:06:56
36,100001,Midwest,view,0.0,2026-03-03 18:18:00
37,100001,Midwest,purchase,140.74,2026-02-02 15:47:09
38,100001,Midwest,search,0.0,2026-03-08 19:21:45
39,100001,Midwest,purchase,137.38,2026-03-29 18:11:46
40,100001,Midwest,view,0.0,2026-02-01 05:47:54
41,100001,Midwest,support,0.0,2026-03-24 09:18:07
42,100002,Midwest,view,0.0,2026-02-25 20:41:57
43,100002,Midwest,purchase,343.75,2026-02-15 14:01:55
44,100002,Midwest,return,0.0,2026-01-04 19:51:08
45,100002,Midwest,purchase,316.9,2026-02-20 20:48:52
46,100002,Midwest,support,0.0,2026-03-25 03:10:56
47,100002,Midwest,purchase,166.42,2026-03-15 23:59:01
48,100002,Midwest,purchase,157.5,2026-01-17 18:35:01
49,100002,Midwest,view,0.0,2026-02-03 11:10:22
50,100002,Midwest,view,0.0,2026-02-11 11:23:17
51,100002,Midwest,search,0.0,2026-01-21 09:10:46
52,100002,Midwest,view,0.0,2026-02-27 19:51:46
53,100002,Midwest,cart,0.0,2026-01-03 13:45:39
54,100002,Midwest,search,0.0,2026-02-27 13:51:35
55,100002,Midwest,support,0.0,2026-01-12 11:22:07
56,100002,Midwest,view,0.0,2026-01-13 03:12:32
57,100002,Midwest,search,0.0,2026-02-05 06:06:23
58,100002,Midwest,view,0.0,2026-02-17 23:21:16
59,100002,Midwest,return,0.0,2026-03-16 21:03:28
60,100002,Midwest,view,0.0,2026-01-23 20:03:03
61,100002,Midwest,purchase,120.14,2026-01-16 21:29:48
62,100002,Midwest,view,0.0,2026-02-18 06:03:42
63,100002,Midwest,search,0.0,2026-01-16 21:55:28
64,100002,Midwest,search,0.0,2026-01-21 03:42:36
65,100002,Midwest,purchase,179.23,2026-02-05 17:35:13
66,100003,Midwest,view,0.0,2026-02-18 08:41:51
67,100003,Midwest,purchase,42.68,2026-03-25 08:35:56
68,100003,Midwest,view,0.0,2026-01-14 13:17:19
69,100003,Midwest,cart,0.0,2026-03-23 19:10:08
70,100003,Midwest,cart,0.0,2026-02-24 00:11:06
71,100003,Midwest,search,0.0,2026-03-06 05:55:06
72,100003,Midwest,view,0.0,2026-02-17 14:42:10
73,100003,Midwest,purchase,16.28,2026-02-09 01:32:55
74,100003,Midwest,search,0.0,2026-02-18 15:44:43
75,100003,Midwest,purchase,24.47,2026-03-14 06:16:47
76,100003,Midwest,support,0.0,2026-01-29 20:52:15
77,100003,Midwest,view,0.0,2026-01-17 05:22:08
78,100003,Midwest,cart,0.0,2026-01-11 02:10:10
79,100003,Midwest,cart,0.0,2026-02-17 16:35:04
80,100003,Midwest,view,0.0,2026-02-23 17:50:39
81,100003,Midwest,purchase,26.55,2026-02-21 09:35:19
82,100003,Midwest,view,0.0,2026-03-27 07:54:05
83,100003,Midwest,view,0.0,2026-02-14 00:27:24
84,100003,Midwest,view,0.0,2026-02-21 02:32:44
85,100003,Midwest,cart,0.0,2026-02-11 06:18:35
86,100003,Midwest,search,0.0,2026-01-21 15:06:03
87,100003,Midwest,view,0.0,2026-03-14 01:52:56
88,100003,Midwest,view,0.0,2026-02-08 14:13:57
89,100004,South,purchase,59.35,2026-02-10 17:01:18
90,100004,South,view,0.0,2026-01-16 00:19:47
91,100004,South,view,0.0,2026-01-30 01:41:09
92,100004,South,search,0.0,2026-01-21 09:36:39
93,100004,South,search,0.0,2026-02-16 10:14:59
